"state","confirmed (SUM)"
"California",1620870
"Texas",1493857
"Florida",1134375
"Illinois",857860
"New York",789815
"Ohio",570602
"Georgia",527157
"Pennsylvania",505422
"Michigan",472166
"Wisconsin",471285
"Tennessee",452476
"North Carolina",441721
"Indiana",433242
"Arizona",420459
"New Jersey",407316
"Minnesota",381900
"Missouri",367510
"Alabama",297895
"Massachusetts",294231
"Colorado",291645
"Virginia",285149
"Louisiana",269643
"Iowa",256902
"South Carolina",254776
"Oklahoma",239767
"Maryland",237215
"Utah",235872
"Kentucky",228668
"Washington",212342
"Kansas",193109
"Nevada",189805
"Arkansas",187057
"Mississippi",181095
"Connecticut",153992
"Nebraska",149620
"Idaho",122679
"New Mexico",121299
"Puerto Rico",96600
"Oregon",95042
"South Dakota",91354
"North Dakota",88073
"Rhode Island",74071
"Montana",73356
"West Virginia",64394
"Delaware",46457
"Alaska",41363
"Wyoming",39775
"New Hampshire",31875
"District of Columbia",25038
"Hawaii",19489
"Maine",16349
"Guam",8106
"Vermont",5857
"Virgin Islands",1807
"Northern Mariana Islands",113
